4,N4,屋,オク,や,maison / boutique / toît
4,N5,山,サン / セン,やま,montagne
4,N5,川,セン,かわ,rivière / fleuve
4,N4,工,コウ,もく,industrie / construction / fabrication
4,N5,左,サ / シャ,ひだり,gauche
4,N4,市,シ,いち,marché / ville
4,N4,帰,キ,かえる,retourner (chez soi) / aboutir à
4,N5,年,ネン,とし,année / compteur pour les années
4,N4,広,コウ,ひろい,large / vaste
4,N5,店,テン,みせ,magasin / échoppe
4,N4,度,ト,たび,fois / occurrence / degré (°C/F)
4,N4,建,ケン / コン,たてる,construire / construction
4,N4,引,イン,ひく / ひける,cesser / diminuer / jouer (musique) / prendre froid
4,N4,弟,テイ / ダイ,おとうと,frère cadet / apprenti / disciple
4,N4,弱,ジャク,よわい,faible
4,N4,強,キョウ,つよい,fort
4,N4,待,タイ,まつ,attendre
4,N5,後,ゴ / コウ,のち / うしろ / あと / おくれる,après / derrière
4,N4,心,シン,こころ,cœur / esprit
4,N4,思,シ,おもう,penser
4,N4,急,キュウ,いそぐ,se dépêcher / urgent / soudain
4,N4,悪,アク,わるい,mauvais / vice / mal
4,N4,意,イ,-,volontée / idée
4,N4,所,ショ,ところ,endroit / lieu / place
4,N5,手,シュ,て,main
4,N4,持,ジ,もつ,tenir / avoir
4,N4,教,キョウ,おしえる,enseigner / religion / foi
5,N4,文,ブン / モン,ふみ / あや,lettre / écriture / littérature / phrase
5,N4,料,リョウ,-,matériau / prix / frais
5,N5,新,シン,あたらしい,nouveau / frais
5,N4,方,ホウ,かた,personne / direction / manière de
5,N4,旅,リョ,たび,voyage
5,N4,族,ゾク,つぎ,famille / clan / bande
5,N5,日,ニチ / ジツ,ひ / か,jour / soleil / Japon / compteur pour les jours
5,N4,早,ソウ,はやい,rapide / tôt
5,N4,明,メイ,あかるい,clair / brillant
5,N4,映,エイ,うつす / はえる,projection / se refléter / réflexion
5,N4,春,シュン,はる,printemps
5,N4,昼,チュウ,ひる,journée / midi
5,N5,時,ジ,とき,temps / heure
5,N4,暑,ショ,あつい,chaud (météorologique)
5,N4,暗,アン,くれる,obscurité / s'assombrir
5,N4,曜,ヨウ,-,jour de la semaine
5,N5,書,ショ,かく,écrire
5,N5,月,ゲツ / ガツ,つき,lune / mois
5,N4,有,ユウ / ウ,ある,posséder / avoir
5,N4,服,フク,-,vêtement / avaler (un médicament)
5,N4,朝,チョウ,あさ,matin
5,N5,木,モク,き,arbre / bois
5,N5,本,ホン,もと,livre / essentiel / réalité / compteur pour les objets allongés
5,N4,村,ソン,むら,village
