kanas,あ,a
kanas,い,i
kanas,う,u
kanas,え,e
kanas,お,o
kanas,か,ka
kanas,き,ki
kanas,く,ku
kanas,け,ke
kanas,こ,ko
kanas,さ,sa
kanas,し,shi
kanas,す,su
kanas,せ,se
kanas,そ,so
kanas,た,ta
kanas,ち,chi
kanas,つ,tsu
kanas,て,te
kanas,と,to
kanas,な,na
kanas,に,ni
kanas,ぬ,nu
kanas,ね,ne
kanas,の,no
kanas,は,ha
kanas,ひ,hi
kanas,ふ,fu
kanas,へ,he
kanas,ほ,ho
kanas,ま,ma
kanas,み,mi
kanas,む,mu
kanas,め,me
kanas,も,mo
kanas,や,ya
kanas,ゆ,yu
kanas,よ,yo
kanas,ら,ra
kanas,り,ri
kanas,る,ru
kanas,れ,re
kanas,ろ,ro
kanas,わ,wa
kanas,を,wo
kanas,ん,n
tenten,が,ga
tenten,ぎ,gi
tenten,ぐ,gu
tenten,げ,ge
tenten,ご,go
tenten,ざ,za
tenten,じ,ji
tenten,ず,zu
tenten,ぜ,ze
tenten,ぞ,zo
tenten,だ,da
tenten,ぢ,ji (di)
tenten,づ,zu (du)
tenten,で,de
tenten,ど,do
tenten,ば,ba
tenten,び,bi
tenten,ぶ,bu
tenten,べ,be
tenten,ぼ,bo
maru,ぱ,pa
maru,ぴ,pi
maru,ぷ,pu
maru,ぺ,pe
maru,ぽ,po
